,Cleaned_Agency_Name,Cleaned_Phone,Cleaned_City,State,Cat1,Cat2,Cat3,formatted_address,Latitude,Longitude
239,Forsyth County Child Advocacy Center,(678) 208-1908,Cumming,GA,"Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1480 Bettis Tribble Gap Rd, Cumming, GA 30040, United States",34.230172,-84.135538
240,Women Escaping A Violent Environment,(605) 673-6333,CUSTER,SD,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Custer, SD 57730, United States",43.7666507,-103.5988057
241,Mosaic Family Services,214-821-5393,Dallas,TX,"Child Physical Abuse, Child Sexual Abuse, Domestic Violence, Human Trafficking, Non-Violent Crimes","Shelter, Victim Services Agency","Assistance in Filing Compensation Claims, Crisis Counseling, Direct Clinical Services, Emergency Legal Advocacy, Follow-up Contact, Group Therapy, Information And Referral , Shelter/Safe House, Telephone Contacts , Victims Rights Legal Services","12225 Greenville Ave #800, Dallas, TX 75243, United States",32.9145922,-96.7458833
242,Samaritan Outreach,(479) 229-3300,Dardanelle,AR,"Adult Sexual Assault, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Shelter,"Assistance in Filing Compensation Claims, Shelter/Safe House,","Dardanelle, AR 72834, United States",35.2231408,-93.1579532
243,"Family Resources, Inc",(563) 468-2326,Davenport,IA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","2800 Eastern Ave, Davenport, IA 52803, United States",41.547149,-90.5531027
244,County of Butler,(402) 367-3793,DAVID CITY,NE,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse, Robbery, Survivors of Homicide Victims",Prosecution,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","David City, NE 68632, USA",41.2527908,-97.1300372
245,Daybreak Inc.,(937) 395-4600,Dayton,OH,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Survivors of Homicide Victims",Mental Health Agency,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","605 S Patterson Blvd, Dayton, OH 45402, United States",39.7504344,-84.1900996
246,Daybreak Inc.,(937) 395-4600,Dayton,OH,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Survivors of Homicide Victims",Mental Health Agency,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","50 Theobald Ct, Dayton, OH 45410, United States",39.752458,-84.1777547
247,Adams Wells Crisis Center,(260) 728-9800,Decatur,IN,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","Decatur, IN 46733, United States",40.8057637,-84.8984775
248,Helping Services for Northeast Iowa,(563) 387-1720,Decorah,IA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Decorah, IA 52101, United States",43.3033056,-91.7857092
249,Powell County,(406) 846-3680,Deer Lodge,MT,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Deer Lodge, MT 59722, USA",46.3990941,-112.7383721
250,"Women's Resources of Monroe County, Inc.",(570) 424-2093,Delaware Water Gap,PA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Shelter/Safe House, Telephone Contacts (Information and Referral),","225 J Wilson Dr, Stroudsburg, PA 18360, United States",40.986631,-75.14809
251,DELAWARE OPPORTUNITIES INC,(607) 746-2165,DELHI,NY,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",NA,"Assistance in Filing Compensation Claims, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","35430 NY-10, Hamden, NY 13782, United States",42.187447,-74.99879
252,Mid-Shore Council on Family Violence,(410) 479-1149,Denton,MD,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Therapy","Denton, MD 21629, United States",38.8845582,-75.8271563
253,Denton County Friends of the Family,(940) 387-5131,Denton,TX,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House,","1400 Crescent St #5, Denton, TX 76201, United States",33.2268089,-97.148937
254,The Center for Trauma and Resilience,303-894-8000,Denver,CO,"Adult Sexual Assault, Adults Molested As Children, Aggravated Battery, Arson, Assault, Child Abduction, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Economic/Property Crime, Elder Abuse, Fraud, Gang Violence, Hate Crime, Human Trafficking, Identity Theft, Missing Persons, Non-Violent Crimes, Robbery, Stalking, Survivors Of Homicide , Terrorism, Victims With Disabilities, White Collar Crime",Victim Services Agency,"Assistance in Filing Compensation Claims, Cell Phones (911), Criminal Justice Support Advocacy, Crisis Counseling, Crisis Hotline Counseling, Crisis Prevention, Direct Clinical Services, Emergency Financial Assistance, Emergency Legal Advocacy, Follow-up Contact, Group Therapy, Identity Theft Counseling , Information And Referral , Personal Advocacy, Safety Plans (DV), Support Group(s), Telephone Contacts , Therapy, Transportation, Victims Rights Legal Services","Denver, CO 80218, United States",39.732746,-104.9710123
255,Colorado Organization for Victim Assistance (COVA),(303) 996-8080,Denver,CO,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1325 S Colorado Blvd ste 508 b, Denver, CO 80222, United States",39.6924575,-104.9411669
256,"Children & Families of Iowa, Family Violence Center",(515) 288-1981,Des Moines,IA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1111 University Ave, Des Moines, IA 50314, United States",41.6007464,-93.6324277
257,Iowa Department of Corrections,515-725-5742,Des Moines,IA,"Adult Sexual Assault, Adults Molested As Children, Aggravated Battery, Arson, Assault, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Economic/Property Crime, Elder Abuse, Fraud, Gang Violence, Human Trafficking, Identity Theft, Non-Violent Crimes, Robbery, Stalking, Survivors Of Homicide , Terrorism, Victims With Disabilities, White Collar Crime",Corrections,"Criminal Justice Support Advocacy, Direct Clinical Services, Follow-up Contact, Information And Referral , Personal Advocacy","510 E 12th St, Des Moines, IA 50319, United States",41.5929704,-93.6034988
258,Iowa Department of Corrections,515-725-5742,Des Moines,IA,"Adult Sexual Assault, Adults Molested As Children, Aggravated Battery, Arson, Assault, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Economic/Property Crime, Elder Abuse, Fraud, Gang Violence, Human Trafficking, Identity Theft, Non-Violent Crimes, Robbery, Stalking, Survivors Of Homicide , Terrorism, Victims With Disabilities, White Collar Crime",Corrections,"Criminal Justice Support Advocacy, Direct Clinical Services, Follow-up Contact, Information And Referral , Personal Advocacy","1000 Washington Ave, Des Moines, IA 50314, United States",41.6087149,-93.630273
259,"COMTREA, Inc.",(636) 586-1806,DeSoto,MO,"Child Sexual Abuse, Domestic Violence,",Mental Health Agency,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","1817 Gravois Rd, High Ridge, MO 63049, United States",38.4820462,-90.5050714
260,Triangle Foundation,(313) 537-7000,Detroit,MI,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","19641 W Seven Mile Rd, Detroit, MI 48219, United States",42.4293891,-83.2364437
261,Cabrini Clinic,313-961-7863,Detroit,MI,"Adult Sexual Assault, Aggravated Battery, Assault, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Victims With Disabilities",Religious Organization,"Direct Clinical Services, Information And Referral , Therapy","1234 Porter St, Detroit, MI 48226, United States",42.3295008,-83.0611177
262,Lakes Crisis & Resource Center,(218) 847-7446,Detroit Lakes,MN,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1339 Pelican Ln, Detroit Lakes, MN 56501, United States",46.8225709,-95.8188679
263,SAFE ALTERNATIVES FOR ABUSED FAMILIES,(701) 662-7378,DEVILS LAKE,ND,"Adult Sexual Assault, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse, Survivors of Homicide Victims",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","1033 7th Street Northeast, Devils Lake, ND 58301, United States",48.1148261,-98.8507337
264,"Dickinson, City of",(281) 337-6236,Dickinson,TX,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","Dickinson, TX 77539, USA",29.4607876,-95.0513172
265,Safe and Fear-Free Environment,(907) 842-2320,Dillingham,AK,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","722-1002 W 2nd Ave, Dillingham, AK 99576, United States",59.043543,-158.4630625
266,Community Support Center,(406) 683-6106,Dillon,MT,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","236 E Reeder St, Dillon, MT 59725, United States",45.2140087,-112.6376322
267,Crisis Center of Dodge City,(620) 225-6987,Dodge City,KS,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Information and Referral (In person), Shelter/Safe House, Telephone Contacts (Information and Referral),","605 Central Ave, Dodge City, KS 67801, United States",37.7534842,-100.0169336
268,23rd Judicial District Attorney's Office,(225) 562-2434,Donaldsonville,LA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Information and Referral (In person), Shelter/Safe House,","201 Opelousas St, Donaldsonville, LA 70346, United States",30.1046181,-90.990787
269,Converse County Coalition Against Violence,(307) 358-6148,Douglas,WY,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Robbery,",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Douglas, WY 82633, United States",42.7596897,-105.3822069
270,Dover Police Department,302-736-7134,Dover,DE,"Adult Sexual Assault, Adults Molested As Children, Aggravated Battery, Arson, Assault, Child Abduction, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Economic/Property Crime, Elder Abuse, Gang Violence, Hate Crime, Identity Theft, Missing Persons, Non-Violent Crimes, Robbery, Stalking, Survivors Of Homicide , Terrorism, Victims With Disabilities",Law Enforcement,"Assistance in Filing Compensation Claims, Cell Phones (911), Criminal Justice Support Advocacy, Forensic Examinations, Information And Referral , Safety Plans (DV), Shelter/Safe House, Transportation","400 S Queen St, Dover, DE 19904, United States",39.1545609,-75.5292167
271,A Woman's Place,(215) 343-9241,Doylestown,PA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Shelter,"Assistance in Filing Compensation Claims, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Rt 611 & Almshouse),, 1281 Almshouse Rd, Doylestown, PA 18901, United States",40.271099,-75.1312494
272,Family Safety Network,(208) 354-8057,Driggs,ID,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","120 South 1st St E, Driggs, ID 83422, United States",43.7214029,-111.109265
273,Dubuque Community Y Domestic Violence Program,(563) 588-0048,Dubuque,IA,"Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","35 N Booth St, Dubuque, IA 52001, United States",42.4928954,-90.6844955
274,American Indian Community Housing Organization,(218) 722-7225,Duluth,MN,"Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","202 W 2nd St, Duluth, MN 55802, United States",46.7860874,-92.1027541
275,Safe Place Inc,(806) 935-7585,Dumas,TX,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","306 W 7th St, Dumas, TX 79029, United States",35.8587624,-101.9761203
276,ACTS / SAVAS,(703) 441-8606,Dumfries,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Acts Ln, Dumfries, VA 22026, USA",38.563206,-77.3295676
277,"YOUTH SERVICES OF BRYAN COUNTY, INC.",(580) 924-6263,DURANT,OK,"Assault, Child Sexual Abuse, Domestic Violence, Robbery,",Mental Health Agency,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","1105 Lynnwood St, Durant, OK 74701, United States",34.0041558,-96.4144397
278,"CRISIS CONTROL CENTER, INC.",(580) 924-3056,DURANT,OK,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","115 N 12th Ave C, Durant, OK 74701, United States",33.9947614,-96.3889005
279,Eagle County Sheriff's Office,970-328-8544,Eagle,CO,"Adult Sexual Assault, Adults Molested As Children, Aggravated Battery, Arson, Assault, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Economic/Property Crime, Elder Abuse, Fraud, Gang Violence, Human Trafficking, Identity Theft, Non-Violent Crimes, Robbery, Stalking, Survivors Of Homicide , Terrorism, Victims With Disabilities, White Collar Crime",Victims Service Centers,"Assistance in Filing Compensation Claims, Cell Phones (911), Criminal Justice Support Advocacy, Crisis Counseling, Crisis Hotline Counseling, Crisis Prevention, Emergency Financial Assistance, Emergency Legal Advocacy, Follow-up Contact, Fraud Investigation, Group Therapy, Identity Theft Counseling , Information And Referral , Personal Advocacy, Safety Plans (DV), Shelter/Safe House, Supervised Visitation, Telephone Contacts , Therapy, Transportation","885 Chambers Ave, Eagle, CO 81631, United States",39.6638639,-106.8180218
280,SACRED HEART WOMEN'S SHELTER,(605) 964-6062,EAGLE BUTTE,SD,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",On Reservation,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","121 Landmark Ave, Eagle Butte, SD 57625, United States",44.9959434,-101.2384753
281,Susanna Wesley Family Learning Center,(573) 649-3731,East Prairie,MO,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Hotline Counseling, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","601 W Marshall St, Charleston, MO 63834, United States",36.9206371,-89.3575114
282,CASA of Talbot and Dorchester Counties,(410) 822-2866,Easton,MD,"Child Sexual Abuse,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1 S Washington St # 2, Easton, MD 21601, United States",38.7743671,-76.0763451
283,Preble County (Prosecutor's Office),(937) 456-9110,Eaton,OH,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Prosecution,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","101 E Main St, Eaton, OH 45320, United States",39.7434827,-84.6358949
284,13th Judicial District,(870) 864-1960,El Dorado,AR,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","250 American Rd A, El Dorado, AR 71730, United States",33.2095976,-92.6331491
285,"La Posada Home, Inc.",(915) 532-8498,El Paso,TX,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",Shelter,"Assistance in Filing Compensation Claims, Crisis Counseling, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","1020 N Campbell St, El Paso, TX 79902, United States",31.7669665,-106.4899623
286,Center Against Sexual and Family Violence,915-593-7300,El Paso,TX,"Adult Sexual Assault, Adults Molested As Children, Child Physical Abuse, Child Sexual Abuse, Domestic Violence, Stalking","Rape Crisis, Shelter, Victim Services Agency","Assistance in Filing Compensation Claims, Criminal Justice Support Advocacy, Crisis Counseling, Crisis Hotline Counseling, Crisis Prevention, Forensic Examinations, Group Therapy, Personal Advocacy, Safety Plans (DV), Shelter/Safe House, Support Group(s), Therapy","580 Giles Rd, El Paso, TX 79915, United States",31.7422707,-106.3535996
287,Child Crisis Center of El Paso,(915) 562-7955,El Paso,TX,"Child Sexual Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Information and Referral (In person), Shelter/Safe House, Telephone Contacts (Information and Referral),","2100 N Stevens St, El Paso, TX 79930, United States",31.7949126,-106.4491453
288,El Paso County,(915) 538-2230,El Paso,TX,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","El Paso County, TX, USA",31.8039824,-106.2051484
289,Elbert County Board of Commissioners,(706) 283-2000,Elberton,GA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Prosecution,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","45 Forest Ave, Elberton, GA 30635, United States",34.1099645,-82.8687314
290,Women's Aid in Crisis,(304) 636-8433,Elikins,WV,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse, Survivors of Homicide Victims",Rape Crisis,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","Buckhannon, WV 26201, United States",38.9939872,-80.2320276
291,Union County Prosecutor's Office,(908) 527-4500,Elizabeth,NJ,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",Law Enforcement,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","32 Rahway Ave, Elizabeth, NJ 07202, United States",40.661487,-74.2165569
